class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
161,other,3031,334,11,0.8110918544194108,0.10227272727272728,-0.7088191271466835,0.7005988023952096,0.05389221556886228,-0.6467065868263473
162,other,486,59,0,0.4114285714285714,0.06451612903225806,-0.34691244239631336,0.6101694915254238,0.03389830508474576,-0.576271186440678
163,other,3156,1741,0,0.025738798856053385,0.0011396011396011395,-0.024599197716452244,0.015508328546812177,0.0005743825387708214,-0.014933946008041356
164,bad,3315,1689,17,0.26493144317917733,0.033846153846153845,-0.23108528933302347,0.6749555950266429,0.019538188277087035,-0.6554174067495558
165,other,5176,4989,183,0.6357827476038339,0.08037209302325582,-0.5554106545805781,0.7578673080777711,0.04329524954900782,-0.7145720585287634
166,other,2317,1835,10,0.5669914738124239,0.03615098351940457,-0.5308404902930193,0.5073569482288829,0.018528610354223433,-0.48882833787465946
167,other,668,55,0,0.11009174311926606,0.0,-0.11009174311926606,0.21818181818181817,0.0,-0.21818181818181817
168,other,3924,4221,57,0.786809103576405,0.06567844925883694,-0.7211306543175681,0.802653399668325,0.03411513859275053,-0.7685382610755745
169,other,2891,1502,13,0.8663845223700121,0.18870192307692307,-0.677682599293089,0.9540612516644474,0.10452729693741677,-0.8495339547270306
170,other,3774,1916,491,0.5357881671493587,0.459391771019678,-0.07639639612968074,0.6758872651356994,0.33507306889352817,-0.34081419624217124
171,other,7082,4142,169,0.6049676760802994,0.28757653565079994,-0.3173911404294995,0.6438918396909705,0.17576050217286335,-0.4681313375181072
172,other,7688,5558,14,0.700560603131645,0.0960559796437659,-0.6045046234878791,0.6520331054336093,0.05433609211946743,-0.5976970133141418
173,other,4960,978,8,0.7655384615384615,0.024242424242424242,-0.7412960372960372,0.6359918200408998,0.012269938650306749,-0.623721881390593
174,bad,4246,1507,0,0.0,0.0,0.0,0.0,0.0,0.0
175,other,50628,22084,1081,0.6193302157820789,0.20629743043536147,-0.41303278534671745,0.66867415323311,0.14032783915957253,-0.5283463140735374
176,other,4309,2085,170,0.4603281636322769,0.260036832412523,-0.2002913312197539,0.49112709832134294,0.16930455635491606,-0.3218225419664269
177,other,1540,1117,6,0.5517023959646911,0.02099737532808399,-0.5307050206366071,0.7833482542524619,0.010743061772605193,-0.7726051924798567
