period,class_id,support,precision,recall,f1,delta_recall_from_ref,delta_f1_from_ref,is_collapsed,top_confusion_target,top_confusion_count,top_confusion_rate
M-2022-7,8,1238,0.8773656320968963,0.9361873990306947,0.9058225869480265,0.0893004867054088,0.025082580340824667,0,28,23,0.018578352180936994
M-2022-8,8,2212,0.8946053946053946,0.8096745027124774,0.8500237304224015,-0.03721240961280847,-0.03071627618480033,0,28,122,0.05515370705244123
M-2022-9,8,1739,0.8474860335195531,0.8723404255319149,0.859733635590819,0.02545351320662903,-0.02100637101638292,0,28,67,0.03852788959171938
M-2022-10,8,1940,0.9035639412997903,0.8886597938144329,0.896049896049896,0.04177288148914704,0.01530988944269418,0,28,54,0.027835051546391754
M-2022-11,8,2069,0.8911419423692636,0.8071532141130981,0.8470707583058584,-0.03973369821218775,-0.033669248301343435,0,28,71,0.03431609473175447
M-2022-12,8,1142,0.9138431752178122,0.8266199649737302,0.8680459770114942,-0.020266947351555653,-0.012694029595707645,0,172,37,0.03239929947460595
M-2022-4,9,1547,0.7186311787072244,0.6108597285067874,0.660377358490566,0.0,0.0,0,25,271,0.17517776341305752
M-2022-5,9,1824,0.7299801455989411,0.6047149122807017,0.6614692653673163,-0.006144816226085648,0.0010919068767503148,0,25,266,0.14583333333333334
M-2022-6,9,1714,0.817966903073286,0.6056009334889149,0.6959436808581965,-0.00525879501787252,0.035566322367630465,0,25,188,0.10968494749124855
M-2022-7,9,1255,0.8315363881401617,0.49163346613545816,0.6179268903355033,-0.11922626237132922,-0.042450468155062704,0,25,189,0.150597609561753
M-2022-8,9,1272,0.7906574394463668,0.35927672955974843,0.49405405405405406,-0.25158299894703895,-0.16632330443651194,0,25,227,0.17845911949685533
M-2022-9,9,1470,0.5409836065573771,0.20204081632653062,0.29420505200594355,-0.4088189121802568,-0.36617230648462246,0,71,170,0.11564625850340136
M-2022-10,9,1291,0.5057471264367817,0.20449264136328427,0.2912300055157198,-0.4063670871435031,-0.3691473529748462,0,71,145,0.1123160340821069
