period,true_class,pred_class,rank_for_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-7,7,151,3,1,0.07692307692307693,1.0,0.07692307692307693
M-2022-7,163,46,1,539,0.4224137931034483,249.0,0.330525326690267
M-2022-7,163,26,2,126,0.0987460815047022,46.0,0.07339753904589358
M-2022-7,163,155,3,92,0.07210031347962383,30.0,0.05245519307404715
M-2022-7,163,61,4,64,0.050156739811912224,44.0,0.043819604197210066
M-2022-7,163,159,5,40,0.03134796238244514,22.0,0.0256445403292132
M-2022-7,38,156,1,33,0.3235294117647059,32.0,0.3105423987776929
M-2022-7,38,129,2,6,0.058823529411764705,6.0,0.058823529411764705
M-2022-7,38,125,3,4,0.0392156862745098,4.0,0.0392156862745098
M-2022-7,38,133,4,3,0.029411764705882353,2.0,0.016424751718869365
M-2022-7,38,62,5,2,0.0196078431372549,2.0,0.0196078431372549
M-2022-7,50,128,1,734,0.28582554517133957,734.0,0.28582554517133957
M-2022-7,50,105,2,472,0.1838006230529595,471.0,0.18358064944979188
M-2022-7,50,118,3,381,0.1483644859813084,380.0,0.1481445123781408
M-2022-7,50,14,4,327,0.12733644859813084,320.0,0.1257966333759575
M-2022-7,50,120,5,117,0.0455607476635514,116.0,0.04534077406038378
M-2022-7,104,117,1,487,0.283304246655032,458.0,0.2746809936071581
M-2022-7,104,105,2,144,0.08376963350785341,104.0,0.0718754913728549
M-2022-7,104,42,3,109,0.06340895869691682,101.0,0.06103013026991712
M-2022-7,104,53,4,100,0.058173356602675974,98.0,0.057578649495926046
M-2022-7,104,110,5,73,0.04246655031995346,60.0,0.03860095412607894
M-2022-7,174,2,1,231,0.21649484536082475,231.0,0.21649484536082475
M-2022-7,174,28,2,157,0.1471415182755389,152.0,0.14596393937775273
M-2022-7,174,117,3,111,0.10402999062792877,13.0,0.0809494442313202
M-2022-7,174,93,4,76,0.07122774133083412,76.0,0.07122774133083412
M-2022-7,174,143,5,52,0.04873477038425492,52.0,0.04873477038425492
M-2022-7,66,133,1,112,0.04329339002705837,60.0,0.03319434166815373
M-2022-7,66,86,2,84,0.03247004252029378,83.0,0.032275830051853305
M-2022-7,66,32,3,65,0.02512562814070352,58.0,0.0237661408616202
M-2022-7,66,115,4,56,0.021646695013529185,18.0,0.014266621212791177
M-2022-7,66,61,5,40,0.015461925009663703,36.0,0.014685075135901808
M-2022-7,10,12,1,58,0.04309063893016345,-50.0,-0.010374707604490017
M-2022-7,10,156,2,28,0.020802377414561663,-34.0,-0.00989069189236903
M-2022-7,10,138,3,24,0.017830609212481426,-1.0,0.005454371588719049
M-2022-7,10,28,4,9,0.006686478454680535,-6.0,-0.0007392641195768908
M-2022-7,10,115,5,8,0.005943536404160475,6.0,0.004953437394259485
M-2022-7,26,13,1,33,0.03466386554621849,3.0,0.021580568555376795
M-2022-7,26,155,2,33,0.03466386554621849,22.0,0.029866656649576537
M-2022-7,26,136,3,27,0.028361344537815126,9.0,0.020511366343310113
M-2022-7,26,61,4,13,0.01365546218487395,11.0,0.012783242385484504
M-2022-7,26,159,5,11,0.011554621848739496,4.0,0.008501852550876435
M-2022-7,109,65,1,28,0.022653721682847898,-7.0,0.003907069299344951
M-2022-7,109,107,2,26,0.021035598705501618,-16.0,-0.0014603841547019165
M-2022-7,109,106,3,3,0.0024271844660194173,0.0,0.0008203285474334505
M-2022-7,109,3,4,2,0.0016181229773462784,2.0,0.0016181229773462784
M-2022-7,109,14,5,2,0.0016181229773462784,1.0,0.0010825043378176228
M-2022-7,69,104,1,10,0.01652892561983471,-18.0,-0.015325454357412158
M-2022-7,69,28,2,4,0.006611570247933884,-15.0,-0.015003901879483637
M-2022-7,69,105,3,4,0.006611570247933884,-8.0,-0.007040306885171918
M-2022-7,69,45,4,2,0.003305785123966942,-8.0,-0.008070779153621227
M-2022-7,69,61,5,2,0.003305785123966942,2.0,0.003305785123966942
M-2022-7,47,6,1,5,0.013020833333333334,5.0,0.013020833333333334
M-2022-7,47,177,2,4,0.010416666666666666,4.0,0.010416666666666666
M-2022-7,47,14,3,3,0.0078125,3.0,0.0078125
M-2022-7,47,117,4,2,0.005208333333333333,-1.0,0.004426879829816792
M-2022-7,47,151,5,2,0.005208333333333333,2.0,0.005208333333333333
M-2022-8,38,45,1,837,0.8602261048304214,837.0,0.8602261048304214
M-2022-8,38,156,2,34,0.03494347379239465,33.0,0.021956460805381665
M-2022-8,38,39,3,29,0.029804727646454265,29.0,0.029804727646454265
M-2022-8,38,129,4,8,0.008221993833504625,8.0,0.008221993833504625
M-2022-8,38,125,5,6,0.006166495375128468,6.0,0.006166495375128468
M-2022-8,121,14,1,16,0.8,15.0,0.7996067636649626
