period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-12,38,125,5,193,0.025906735751295335,0.046632124352331605,0.02072538860103627,5,9,4
M-2022-12,47,5,1,618,0.45145631067961167,0.48220064724919093,0.030744336569579256,279,298,19
M-2022-12,47,6,2,618,0.1553398058252427,0.18608414239482202,0.03074433656957931,96,115,19
M-2022-12,47,7,3,618,0.09546925566343042,0.11812297734627832,0.02265372168284789,59,73,14
M-2022-12,47,151,4,618,0.06957928802588997,0.025889967637540454,-0.04368932038834952,43,16,-27
M-2022-12,47,102,5,618,0.05339805825242718,0.042071197411003236,-0.011326860841423946,33,26,-7
M-2022-12,48,14,1,3361,0.389764950907468,0.34721808985421004,-0.042546861053257945,1310,1167,-143
M-2022-12,48,177,2,3361,0.32609342457601903,0.3412674799166915,0.015174055340672454,1096,1147,51
M-2022-12,48,170,3,3361,0.1716750966974115,0.1889318655162154,0.01725676881880392,577,635,58
M-2022-12,48,6,4,3361,0.05950609937518596,0.06486164831895269,0.005355548943766733,200,218,18
M-2022-12,48,5,5,3361,0.012198750371913121,0.019041951800059506,0.006843201428146385,41,64,23
M-2022-12,56,96,1,12137,0.25236878965147896,0.2540990360056027,0.0017302463541237212,3063,3084,21
M-2022-12,56,165,2,12137,0.24841394084205323,0.25352228722089476,0.005108346378841527,3015,3077,62
M-2022-12,56,118,3,12137,0.20507538930542968,0.2057345307736673,0.0006591414682376173,2489,2497,8
M-2022-12,56,14,4,12137,0.09392765922386093,0.09244459092032628,-0.001483068303534646,1140,1122,-18
M-2022-12,56,71,5,12137,0.047458185713108676,0.03971327346131664,-0.007744912251792038,576,482,-94
M-2022-12,66,71,1,1955,0.13861892583120206,0.1565217391304348,0.01790281329923274,271,306,35
M-2022-12,66,142,2,1955,0.1360613810741688,0.15089514066496162,0.014833759590792833,266,295,29
M-2022-12,66,49,3,1955,0.12276214833759591,0.11867007672634271,-0.0040920716112532035,240,232,-8
M-2022-12,66,78,4,1955,0.07877237851662404,0.08797953964194373,0.00920716112531969,154,172,18
M-2022-12,66,108,5,1955,0.07161125319693094,0.0721227621483376,0.0005115089514066556,140,141,1
M-2022-12,69,105,1,1866,0.3767416934619507,0.37352625937834943,-0.003215434083601254,703,697,-6
M-2022-12,69,39,2,1866,0.10610932475884244,0.09110396570203644,-0.015005359056806,198,170,-28
M-2022-12,69,60,3,1866,0.0969989281886388,0.09271168274383708,-0.004287245444801718,181,173,-8
M-2022-12,69,125,4,1866,0.08092175777063237,0.10932475884244373,0.02840300107181136,151,204,53
M-2022-12,69,18,5,1866,0.07288317256162916,0.08520900321543408,0.012325830653804923,136,159,23
M-2022-12,104,2,1,1744,0.2121559633027523,0.3532110091743119,0.14105504587155962,370,616,246
M-2022-12,104,117,2,1744,0.17144495412844038,0.01261467889908257,-0.1588302752293578,299,22,-277
M-2022-12,104,133,3,1744,0.1559633027522936,0.1588302752293578,0.002866972477064217,272,277,5
M-2022-12,104,19,4,1744,0.14564220183486237,0.16341743119266056,0.017775229357798183,254,285,31
M-2022-12,104,110,5,1744,0.06364678899082568,0.041857798165137614,-0.021788990825688068,111,73,-38
M-2022-12,109,71,1,393,0.24936386768447838,0.27735368956743,0.027989821882951627,98,109,11
