class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
19,other,13185,22936,5608,0.6062648892493284,0.5978606678524011,-0.008404221396927314,0.521494593651901,0.5202738053714684,-0.0012207882804325942
20,other,1281,1125,429,0.5622798591098302,0.4721415368365461,-0.09013832227328417,0.7804444444444445,0.7946666666666666,0.014222222222222136
21,other,2620,2095,1463,0.828643216080402,0.8367685382610756,0.008125322180673522,0.7871121718377089,0.8429594272076373,0.055847255369928406
22,other,4636,743,371,0.6884236453201971,0.6845407872219053,-0.003882858098291808,0.7523553162853297,0.8075370121130552,0.055181695827725474
23,other,12840,5114,3081,0.8492664236987197,0.8474356600629513,-0.0018307636357683954,0.8885412592882284,0.8949941337504889,0.006452874462260505
24,other,10253,4154,823,0.5630001569119724,0.637906241012367,0.07490608410039468,0.43187289359653347,0.5339431872893596,0.10207029369282616
25,other,54557,34385,16023,0.8588748146952195,0.8670639835633206,0.00818916886810106,0.8508942852988222,0.8652610149774611,0.014366729678638945
26,bad,2293,807,27,0.024539877300613498,0.035398230088495575,0.010858352787882077,0.022304832713754646,0.02973977695167286,0.007434944237918215
27,other,19386,7371,5159,0.9089068825910931,0.9193800654059434,0.010473182814850324,0.8528015194681862,0.8772215438882106,0.024420024420024444
28,bad,16366,5815,815,0.3217811384162991,0.32186566445022646,8.452603392739011e-05,0.26345657781599313,0.2871883061049011,0.02373172828890796
29,other,29653,30274,8396,0.8087042946068944,0.8017308671304938,-0.006973427476400618,0.7660038316707406,0.7803065336592455,0.014302701988504918
30,other,8131,645,470,0.8975206611570248,0.9048414023372288,0.007320741180203982,0.8418604651162791,0.8403100775193798,-0.0015503875968992942
31,other,7973,952,886,0.8941747572815534,0.8647636874122602,-0.029411069869293205,0.967436974789916,0.9705882352941176,0.0031512605042016695
32,other,2331,998,71,0.3008015087223008,0.3378623188405797,0.037060810118278886,0.3196392785571142,0.37374749498997994,0.05410821643286573
33,other,204,630,16,0.6793206793206793,0.642,-0.037320679320679284,0.5396825396825397,0.5095238095238095,-0.030158730158730163
34,other,588,1240,245,0.5924453280318092,0.6225972808251289,0.030151952793319725,0.4806451612903226,0.535483870967742,0.054838709677419384
35,other,875,930,520,0.7747972551466001,0.7721911855990068,-0.002606069547593348,0.667741935483871,0.6688172043010753,0.0010752688172043223
36,other,826,216,21,0.3619047619047619,0.35555555555555557,-0.006349206349206327,0.2638888888888889,0.25925925925925924,-0.00462962962962965
37,other,1989,866,682,0.9060773480662984,0.8981086028065893,-0.007968745259709031,0.8521939953810623,0.8498845265588915,-0.002309468822170868
38,bad,77,193,20,0.08968609865470852,0.1111111111111111,0.02142501245640259,0.05181347150259067,0.06735751295336788,0.015544041450777209
39,other,4388,4483,2478,0.9025587467362924,0.9027850761954809,0.0002263294591884346,0.9638634842739238,0.9580637965648003,-0.0057996877091234245
40,other,2334,737,323,0.6259808195292066,0.6061674008810573,-0.01981341864814934,0.4871099050203528,0.46675712347354137,-0.020352781546811416
