class,group,reference_support,target_support,static_f1,best_pair_f1,delta_f1,static_recall,best_pair_recall,delta_recall
142,other,62604,15948,0.6765168539325843,0.6765928756040005,7.60216714161821e-05,0.755079006772009,0.755079006772009,0.0
143,other,4384,3052,0.4037700282752121,0.4029428409734012,-0.0008271873018108611,0.35091743119266056,0.34993446920052423,-0.000982961992136322
144,stable,3642,2267,0.981722087645893,0.981722087645893,0.0,0.9832377591530658,0.9832377591530658,0.0
145,stable,2224,1149,0.9943305713039686,0.9943305713039686,0.0,0.9921671018276762,0.9921671018276762,0.0
146,other,4793,4680,0.8806497175141242,0.8806497175141242,0.0,0.7993589743589744,0.7993589743589744,0.0
147,other,2203,2730,0.7240915208613729,0.7240915208613729,0.0,0.5912087912087912,0.5912087912087912,0.0
148,other,6812,3728,0.8069948186528497,0.8069948186528497,0.0,0.835568669527897,0.835568669527897,0.0
149,other,74194,29896,0.6411142367906066,0.6411707138051257,5.647701451905185e-05,0.7013312817768264,0.7012643831950762,-6.689858175012997e-05
150,other,2305,1291,0.7224264705882353,0.7224264705882353,0.0,0.6088303640588691,0.6088303640588691,0.0
151,other,2021,872,0.6416593115622242,0.6436476316954405,0.0019883201332162592,0.8337155963302753,0.8337155963302753,0.0
152,other,1673,729,0.7201946472019465,0.7201946472019465,0.0,0.6090534979423868,0.6090534979423868,0.0
153,other,70973,59235,0.810052304817457,0.8101060206452063,5.371582774926775e-05,0.7830505613235418,0.7829999155904448,-5.064573309698783e-05
154,other,2978,1862,0.5724725943970768,0.5720377703320134,-0.0004348240650633439,0.5048335123523093,0.5042964554242749,-0.0005370569280344073
155,other,11183,5650,0.592071311283134,0.5924882629107981,0.00041695162766419713,0.6700884955752212,0.6700884955752212,0.0
156,other,32897,11350,0.7414931064828395,0.7415804534448602,8.7346962020729e-05,0.8908370044052863,0.8904845814977974,-0.00035242290748893623
157,other,2075,800,0.49772036474164133,0.49772036474164133,0.0,0.81875,0.81875,0.0
158,other,12544,5549,0.7169658084950865,0.7166653124238238,-0.0003004960712627014,0.795458641196612,0.7947377905928996,-0.0007208506037124085
159,other,3182,1740,0.4109681787406906,0.4109681787406906,0.0,0.3488505747126437,0.3488505747126437,0.0
160,other,1553,1048,0.47699004975124376,0.4771384136858476,0.00014836393460382347,0.7318702290076335,0.7318702290076335,0.0
161,other,3031,334,0.8110918544194108,0.8110918544194108,0.0,0.7005988023952096,0.7005988023952096,0.0
162,other,486,59,0.4114285714285714,0.4311377245508982,0.019709153122326795,0.6101694915254238,0.6101694915254238,0.0
163,other,3156,1741,0.025738798856053385,0.025738798856053385,0.0,0.015508328546812177,0.015508328546812177,0.0
164,bad,3315,1689,0.26493144317917733,0.2615139078887369,-0.003417535290440421,0.6749555950266429,0.6791000592066312,0.004144464179988261
