prototype_period,split,class_id,absorber_class,pair_source,first_collapse_period,collapse_pattern,reference_recall,final_recall,final_f1,final_top_confusion_rate,first_collapse_top_confusion_rate,valid_pair,class_support,absorber_support,raw_l2_distance,cosine_similarity,cosine_distance,normalized_l2_distance,absorber_neighbor_rank,num_valid_neighbors,absorber_rank_percentile,nearest_class,nearest_cosine_distance,absorber_is_nearest,distance_z_vs_class_neighbors
M-2022-4,train,26,13,final,M-2022-12,abrupt,0.8839947666812037,0.022304832713754646,0.024539877300613498,0.21561338289962825,0.21561338289962825,1,15508,8321,9.390463829040527,0.7072759866714478,0.29272401332855225,0.7651457786560059,43,175,0.24571428571428572,4,0.06952619552612305,0,-0.7626050358072969
M-2022-12,train,56,96,final,M-2022-5,abrupt,0.9524469982167625,0.00041196341764851283,0.0007871536523929471,0.25236878965147896,0.36252736940882074,1,1865,14762,9.71328067779541,0.6391522884368896,0.36084771156311035,0.849526584148407,51,172,0.29651162790697677,27,0.2115963101387024,0,-0.5613915122575033
M-2022-12,train,163,46,final,M-2022-5,gradual,0.3659695817490494,0.015508328546812177,0.025738798856053385,0.41815048822515793,0.3468067906224737,1,3377,494,11.181166648864746,0.5338302850723267,0.46616971492767334,0.9655773639678955,146,172,0.8488372093023255,107,0.031713008880615234,0,1.1160004776747008
M-2022-12,train,174,2,final,M-2022-7,abrupt,0.9500706547338672,0.0,0.0,0.291970802919708,0.21649484536082475,0,0,2942,,,,,,,,,,,
M-2022-12,train,48,14,final,M-2022-7,abrupt,0.9944011197760448,0.0008925914906277894,0.0017709563164108619,0.389764950907468,0.4735437972432192,1,25248,572,7.319107532501221,0.7941142916679382,0.20588570833206177,0.6416942477226257,38,172,0.22093023255813954,136,0.10445189476013184,0,-0.8620773935708165
M-2022-12,train,50,124,final,M-2022-7,abrupt,0.5846898372195336,0.13023560209424084,0.186155285313377,0.11780104712041885,0.28582554517133957,1,9316,3246,10.322369575500488,0.5467588305473328,0.45324116945266724,0.9520936608314514,162,172,0.9418604651162791,149,0.10978204011917114,0,1.4479798821574514
M-2022-12,train,38,45,final,M-2022-8,abrupt,0.6753246753246753,0.05181347150259067,0.08968609865470852,0.46113989637305697,0.8602261048304214,1,3586,5936,7.06472635269165,0.8114856481552124,0.1885143518447876,0.6140266060829163,23,172,0.13372093023255813,37,0.12292194366455078,0,-1.1349882970479597
M-2022-12,train,121,14,final,M-2022-9,gradual,0.9476995674400315,0.0,0.0,0.4375,0.7515151515151515,1,1814,572,5.873018264770508,0.8733295202255249,0.1266704797744751,0.5033299326896667,12,172,0.06976744186046512,28,0.09514707326889038,0,-1.310653536663665
M-2022-12,train,69,105,final,M-2022-9,abrupt,0.8020477815699659,0.00482315112540193,0.008430913348946136,0.3767416934619507,0.32507739938080493,1,31546,2823,7.364475727081299,0.7756791710853577,0.22432082891464233,0.6698071360588074,28,172,0.16279069767441862,80,0.03627216815948486,0,-0.8824763360940742
M-2022-12,train,104,2,final,M-2022-9,gradual,0.6286054118346714,0.00974770642201835,0.016456921587608905,0.2121559633027523,0.2101628021706956,1,2044,2942,9.344658851623535,0.588963508605957,0.41103649139404297,0.9066824316978455,74,172,0.43023255813953487,89,0.07013535499572754,0,-0.036019154286207236
M-2022-12,train,47,5,final,M-2022-11,gradual,0.9700442823651992,0.0,0.0,0.45145631067961167,0.3493975903614458,1,2689,864,6.058589458465576,0.9067314863204956,0.0932685136795044,0.4318991005420685,2,172,0.011627906976744186,46,0.08898299932479858,0,-3.078283866890918
M-2022-12,train,66,71,final,M-2022-11,abrupt,0.9201786754709652,0.0010230179028132991,0.001658374792703151,0.13861892583120206,0.35346142116498935,1,1999,7057,9.190448760986328,0.6185231804847717,0.38147681951522827,0.8734720945358276,160,172,0.9302325581395349,114,0.12228423357009888,0,1.6272586666927222
M-2022-12,train,10,156,final,M-2022-11,gradual,0.8128712871287128,0.09760956175298804,0.16184971098265896,0.3645418326693227,0.34739941118743867,1,1399,1392,4.935291290283203,0.8985549807548523,0.1014450192451477,0.4504331052303314,6,172,0.03488372093023256,145,0.07382267713546753,0,-1.4230711496828847
M-2022-12,train,7,5,final,M-2022-11,gradual,0.6666666666666666,0.21212121212121213,0.125,0.48484848484848486,0.7884615384615384,1,914,864,11.348578453063965,0.5308520793914795,0.4691479206085205,0.9686567187309265,156,172,0.9069767441860465,10,0.10402053594589233,0,1.3399259210220473
M-2022-12,train,109,71,final,M-2022-12,abrupt,0.9480449919657205,0.0,0.0,0.24936386768447838,0.24936386768447838,1,866,7057,11.202770233154297,0.4518934488296509,0.5481065511703491,1.0470019578933716,166,172,0.9651162790697675,140,0.09440100193023682,0,1.7453224497442013
M-2022-12,train,26,13,final,M-2022-12,abrupt,0.8839947666812037,0.022304832713754646,0.024539877300613498,0.21561338289962825,0.21561338289962825,1,5897,4657,10.468966484069824,0.665913462638855,0.334086537361145,0.8174185156822205,47,172,0.27325581395348836,4,0.09254765510559082,0,-0.6074901291060693
