norm,period,class_id,groups,support,precision,recall,f1
gn,M-2022-7,138,degraded_noncollapsed,28132,0.8554360812425329,0.6871889663017204,0.7621375490331356
gn,M-2022-7,139,degraded_noncollapsed,1011,0.3778135048231511,0.2324431256181998,0.2878138395590937
gn,M-2022-7,140,,13811,0.6877828054298643,0.8034175657084932,0.7411167512690355
gn,M-2022-7,141,,1364,0.7223851417399805,0.5417888563049853,0.6191872643485546
gn,M-2022-7,142,,23002,0.8331109372843142,0.7871489435701243,0.8094780373309489
gn,M-2022-7,143,degraded_noncollapsed,2408,0.6537634408602151,0.6312292358803987,0.6422987534333404
gn,M-2022-7,144,stable,3002,0.9946485907955762,0.9287141905396402,0.960551248923342
gn,M-2022-7,145,stable,1697,0.995872641509434,0.9952857984678845,0.995579133510168
gn,M-2022-7,146,,4786,0.9859086491739553,0.8478896782281655,0.9117052347787015
gn,M-2022-7,147,degraded_noncollapsed,55,0.18811881188118812,0.34545454545454546,0.24358974358974358
gn,M-2022-7,148,,4632,0.9153846153846154,0.8734887737478411,0.8939460892620416
gn,M-2022-7,149,,32883,0.7125976643383672,0.7849344646169754,0.7470189858763603
gn,M-2022-7,150,degraded_noncollapsed,1436,0.8592870544090057,0.637883008356546,0.7322142286171063
gn,M-2022-7,151,,1469,0.7505966587112172,0.8563648740639891,0.8
gn,M-2022-7,152,degraded_noncollapsed,336,0.9106145251396648,0.9702380952380952,0.9394812680115274
gn,M-2022-7,153,,39925,0.7984454632193805,0.8593613024420789,0.8277842115421733
gn,M-2022-7,154,,1219,0.6693830034924331,0.4716981132075472,0.5534167468719923
gn,M-2022-7,155,,5019,0.5943246670894102,0.7469615461247261,0.6619581530855478
gn,M-2022-7,156,absorber,19602,0.7957924780186899,0.8818998061422304,0.8366364186327888
gn,M-2022-7,157,,937,0.5713080168776371,0.7225186766275347,0.6380772855796418
gn,M-2022-7,158,,5930,0.9054856743535988,0.8740303541315345,0.8894800068645958
gn,M-2022-7,159,,1512,0.6848049281314168,0.44113756613756616,0.5366049879324215
gn,M-2022-7,160,,1230,0.46135693215339235,0.6357723577235772,0.5347008547008547
gn,M-2022-7,161,,1512,0.9912087912087912,0.8948412698412699,0.940563086548488
gn,M-2022-7,162,,241,0.5045045045045045,0.46473029045643155,0.4838012958963283
gn,M-2022-7,163,final_collapsed;gradual_collapsed,1276,0.12,0.02821316614420063,0.04568527918781726
gn,M-2022-7,164,,1702,0.2250050906129098,0.6492361927144535,0.3341902313624679
gn,M-2022-7,165,,5683,0.770854788877446,0.7902516276614464,0.7804327048396906
gn,M-2022-7,166,degraded_noncollapsed,1530,0.6203492786636294,0.5339869281045752,0.5739374780470671
gn,M-2022-7,167,degraded_noncollapsed,23,0.019455252918287938,0.21739130434782608,0.03571428571428571
