period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-7,8,1238,2.012451171875,6.4979095458984375,-0.6657805442810059,151,5.86212682723999,1.1229171752929688,-0.6357827186584473,1.7886977195739746,28,0.018578352180936994,7.231176853179932,28,5.956322193145752,5.956322193145752,1.2748546600341797
M-2022-7,9,1255,3.2448415756225586,7.9272332191467285,0.09155941009521484,25,4.307134628295898,1.1551551818847656,-3.62009859085083,1.0635957717895508,25,0.150597609561753,4.307134628295898,25,3.151979446411133,3.151979446411133,1.1551551818847656
M-2022-7,10,1346,1.1495124101638794,6.596435070037842,-0.0627145767211914,12,3.8955960273742676,0.13840055465698242,-2.700839042663574,0.20111513137817383,12,0.04309063893016345,3.8955960273742676,12,3.757195472717285,3.757195472717285,0.13840055465698242
M-2022-7,11,1290,2.821296215057373,7.853954792022705,0.043476104736328125,88,4.216687202453613,-0.20226478576660156,-3.637267589569092,-0.2457408905029297,133,0.07209302325581396,4.895193576812744,133,5.085204124450684,5.085204124450684,-0.19001054763793945
M-2022-7,12,1813,1.8305211067199707,8.206367492675781,0.18409252166748047,10,3.8955960273742676,0.13840055465698242,-4.310771465301514,-0.04569196701049805,10,0.03033645890788748,3.8955960273742676,10,3.757195472717285,3.757195472717285,0.13840055465698242
M-2022-7,13,1115,1.93120276927948,8.355066299438477,0.47928428649902344,159,2.9599814414978027,0.4070620536804199,-5.395084857940674,-0.07222223281860352,46,0.09147982062780269,4.483251094818115,46,3.511965274810791,3.511965274810791,0.9712858200073242
M-2022-7,14,4897,2.1080455780029297,8.962091445922852,0.18480873107910156,155,3.5835886001586914,0.058743953704833984,-5.37850284576416,-0.12606477737426758,129,0.23994282213600163,4.496997833251953,129,3.9953043460845947,3.9953043460845947,0.5016934871673584
M-2022-7,15,538,1.1498329639434814,6.40201997756958,-0.9258928298950195,154,5.229672431945801,0.6624698638916016,-1.1723475456237793,1.588362693786621,151,0.02973977695167286,5.4966912269592285,151,5.2011799812316895,5.2011799812316895,0.29551124572753906
M-2022-7,16,949,3.317559242248535,8.457026481628418,-0.0885782241821289,155,2.8198976516723633,-0.2209148406982422,-5.637128829956055,-0.13233661651611328,61,0.17281348788198103,5.49092960357666,93,7.065092086791992,7.185797691345215,-1.6948680877685547
M-2022-7,17,9274,2.752462863922119,5.350502967834473,-2.2506885528564453,67,4.373385429382324,0.018453121185302734,-0.9771175384521484,2.269141674041748,49,0.08022428294155703,8.097187995910645,156,5.024440288543701,6.428266525268555,1.6689214706420898
M-2022-7,18,12401,1.523707389831543,6.8571600914001465,-0.6208705902099609,154,5.191463470458984,-0.005617618560791016,-1.665696620941162,0.6152529716491699,117,0.006693008628336425,6.922964572906494,153,6.4388017654418945,7.236661911010742,-0.31369733810424805
M-2022-7,19,9918,1.0135536193847656,7.0406174659729,-0.19281530380249023,23,4.464468479156494,0.3636326789855957,-2.5761489868164062,0.5564479827880859,18,0.019862875579753983,6.442627429962158,18,5.555657386779785,5.555657386779785,0.886970043182373
M-2022-7,20,1273,0.771509051322937,6.998261451721191,0.19785690307617188,2,4.641973972320557,0.22267770767211914,-2.3562874794006348,0.024820804595947266,24,0.018853102906520033,5.195364952087402,19,4.820204257965088,5.760730743408203,-0.5653657913208008
M-2022-7,21,1255,0.6703170537948608,5.47044038772583,-0.10483169555664062,20,4.687837600708008,0.2685413360595703,-0.7826027870178223,0.37337303161621094,117,0.004780876494023904,8.978421211242676,153,7.984899520874023,9.762002944946289,-0.7835817337036133
M-2022-7,22,449,4.862612247467041,6.230117321014404,0.13048410415649414,32,5.654048442840576,0.20346689224243164,-0.5760688781738281,0.0729827880859375,19,0.0467706013363029,10.310403823852539,153,7.523407459259033,9.186062812805176,1.1243410110473633
M-2022-7,23,5629,1.112179160118103,6.536499977111816,0.25146055221557617,19,4.464468479156494,0.3636326789855957,-2.0720314979553223,0.11217212677001953,19,0.004974240540060401,4.464468479156494,19,4.100835800170898,4.100835800170898,0.3636326789855957
M-2022-7,24,4214,1.8068124055862427,5.87874174118042,0.07592487335205078,20,5.195364952087402,0.04901552200317383,-0.6833767890930176,-0.026909351348876953,153,0.014712861888941622,6.574116230010986,153,6.4211506843566895,6.4211506843566895,0.15296554565429688
M-2022-7,25,35008,0.828431248664856,8.118770599365234,0.2216353416442871,166,4.148500442504883,0.99652099609375,-3.9702701568603516,0.7748856544494629,142,0.008483775137111517,6.215756893157959,156,5.544147491455078,6.840477466583252,-0.624720573425293
M-2022-7,26,952,3.9779469966888428,8.255782127380371,1.6191225051879883,163,3.832413673400879,-0.20417308807373047,-4.423368453979492,-1.8232955932617188,13,0.03466386554621849,5.044462203979492,13,5.323270320892334,5.323270320892334,-0.2788081169128418
M-2022-7,27,15113,4.393265247344971,5.334936618804932,0.49671316146850586,4,6.453752040863037,1.5319395065307617,1.1188154220581055,1.0352263450622559,51,0.11652219943095349,7.306364059448242,83,6.565752983093262,7.287057876586914,0.019306182861328125
M-2022-7,28,10579,2.5028464794158936,7.911130905151367,0.4108147621154785,117,5.248929500579834,0.3384556770324707,-2.662201404571533,-0.07235908508300781,142,0.07770110596464694,5.9829936027526855,25,7.334218978881836,7.241425514221191,-1.2584319114685059
M-2022-7,29,19817,4.885010242462158,8.228325843811035,0.3416142463684082,149,3.557255983352661,-0.15494489669799805,-4.671069860458374,-0.49655914306640625,149,0.0804864510268961,3.557255983352661,149,6.495394229888916,6.495394229888916,-2.938138246536255
M-2022-7,30,5745,0.9829748868942261,7.350933074951172,-0.21618080139160156,111,4.10491943359375,0.14665007591247559,-3.246013641357422,0.36283087730407715,19,0.0026109660574412533,10.48600959777832,149,6.769852638244629,9.945351600646973,0.5406579971313477
M-2022-7,31,5940,0.5782628059387207,6.008323669433594,0.20770597457885742,158,5.263671875,-0.07786703109741211,-0.7446517944335938,-0.28557300567626953,142,0.003367003367003367,6.114781379699707,142,6.792895793914795,6.792895793914795,-0.6781144142150879
