period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-5,44,2779,2910,790.7279052886676,0.2868853168523373,4.862344238637718,4.95019926700392,4.051534017913027,2.340322779377635,0.0134489880627916
M-2022-5,45,3156,2192,517.8888370431115,0.549259665288224,39.6164581656536,4.779496137132058,3.752091129653392,5.159728166829836,-0.038110465735309074
M-2022-5,46,10149,9798,3013.6249631561623,0.14251803063924948,84.17557221647297,3.2074423889976367,2.3536785519833456,2.7682347886061236,-0.03304499667757377
M-2022-5,47,3766,3839,1378.0110719746494,2.3319084383836572,4.426426754400378,14.251892107462647,9.267090808135263,13.338945477266327,0.0033755223501326093
M-2022-5,48,5241,5001,351.4783640867687,0.7456948221117081,4.872821428845519,38185.61671287949,6.050535908807431,4.732519656445178,0.0028131840891860715
M-2022-5,49,46428,40220,1151.0910198526033,0.2390865039388555,27.196494816974862,3.255357136495562,3.0470920968438757,3.275338246666913,-0.003259774794946435
M-2022-5,50,7426,4546,6709.696774711767,2.555911389205878,282.73803904641056,15.619757811121376,12.852668543547884,27.66262825890342,-0.02837364375208884
M-2022-5,51,22943,21842,3859.6616317337016,0.29049450982304237,155.5482917393409,2.9676350180171833,2.4766446853995556,6.075853152802791,0.0002947632793203203
M-2022-5,52,2346,2301,2341.149092299465,0.23523131830817462,62.06811060686387,3.5924334620603036,3.0613910113456577,5.327288098856658,-0.001419007982517595
M-2022-5,53,10324,9775,1095.0424832758717,0.7507456020832942,67.9760890275287,6.49406428643121,4.6248939258500155,9.02810798039401,-0.01700765941918636
M-2022-5,54,7963,6663,858.3499231371202,0.30459875498395905,188.90259081148403,19.224428451850184,14.617481297127462,36.227609508994554,-0.23310219953919165
M-2022-5,55,10913,8193,130.00356510742245,0.09935409053791568,0.3114854143781276,6359389.720613135,1.5143609064578372,0.773279384669939,0.0007547781649511753
M-2022-5,56,9591,10094,1637.220080301573,7.932657924280402,0.729433844229264,222093658.62818873,23.28619639956523,27.545481201727306,-0.9269269142311961
M-2022-5,57,3525,3065,6686.705315330948,0.4845056864854856,8.130084574178872,12.484870170885985,10.226261666074004,13.595903090594309,-0.006006462208955066
M-2022-5,58,2323,2286,40.44702580494297,0.03618555967202336,0.0,1377539.4347805174,1.0715897542621118,0.48209920241824894,0.0023085997526157698
M-2022-5,59,9791,13724,7449.282516285191,0.7376179121190445,7.088796327059438,7.23569438359492,5.443751022688648,12.965064877638866,0.017009666252896904
M-2022-5,60,44901,49622,766.8819287375911,0.38427232399826394,57.55641528690111,2.453171186284096,1.9365052097226043,4.249658887145973,-0.01682446973185736
M-2022-5,61,19248,19676,1357.5586009987085,0.1779503560337486,853.2390074675243,6.124609585562395,4.892238541164769,13.158297940621761,-0.0034420610568650645
M-2022-5,62,15902,15549,2353.948014128008,0.3430149886072646,195.1981789361828,4.304460854583561,3.932270665234243,12.021774330508293,-0.0033828945492467843
M-2022-5,63,12327,11152,2839.198742009794,0.25468486725724504,219.9227373564625,3.267739182700462,2.6939576608065545,6.194190242492071,-0.009160061200386815
M-2022-5,64,1122,2437,792.7644769401077,0.2867176191176287,15.638815073908498,5.4341169865732635,4.061528773836291,5.890483079990095,-0.09848427401867277
M-2022-5,65,3554,3145,1131.8558879446114,0.06739758063866783,0.0,1.7718490767854387,1.4974121089717953,0.9744206264505748,-0.007507288427654246
M-2022-5,66,6479,5149,9117.754005133778,0.8076140400237155,18.084062674242965,4.895472321132902,4.078540618269792,5.316039212622095,-0.03986262059257362
M-2022-5,67,1581,854,3941.8243189396367,0.37830753665823824,316.74073860109877,4.80727246321408,3.9250980829155817,6.8057041290632965,0.03140952093052013
M-2022-5,68,8946,7271,3393.5932316649387,1.1850594697327133,440.3084266229417,9.584884408140685,7.469586370035619,18.27585403504848,0.007190075764806125
M-2022-5,69,857,879,11393.613796838732,0.5309669548641116,505.7745913662896,10.32764251481473,8.408373500157907,22.25049901909737,-0.01602926561803919
M-2022-5,70,2822,2642,5565.315148468466,0.23068665095435367,9.14701375748323,8.138681264997306,7.581438376291958,2.8575155560370993,-0.02806074630567479
M-2022-5,71,168702,149408,683.6656420902896,0.2093941460899628,13.062772325543786,1.1788240076521548,1.0205576626056392,2.363272029913927,-0.0037720608024844893
M-2022-5,72,19739,17880,1731.0852838094102,0.14697590468363791,101.25126134874428,1.7452886824408644,1.48577345644163,2.5662673687751085,0.007578921427144447
M-2022-5,73,31508,29211,294.0495319745029,0.3512873464851246,1.1762269419903686,1.9846459675695602,1.4715183942700303,2.101794074104671,-0.0010712976983034972
M-2022-5,74,10715,9210,2220.9208109831993,0.9968122863470341,423.43524126983647,8.546539435547219,7.595173193934592,18.9511727106522,0.0187202606362874
M-2022-5,75,30933,28060,1090.3349860960868,0.13586824663859204,61.77997891149517,1.144281776193324,0.955307864771014,1.8500234301057614,-0.02882759841186433
M-2022-5,76,12560,10523,1190.8965312333812,1.1791414363199568,85.85272733641989,5.93043233644166,4.855523415293333,11.038826247895585,-0.001970522735661784
M-2022-5,77,80105,81932,1713.7100042894594,0.24136309136171608,97.45127735791094,1.6793696150906856,1.4948474026966045,2.7163587133129354,-0.02298662565263765
M-2022-5,78,54812,48009,1299.2861692400302,0.19731288349877224,10.073112848177708,1.2139665136973343,1.0758068693449407,1.7522724788095854,0.00042640307391250687
M-2022-5,79,28257,25102,1332.1449774850405,0.13215187742331358,28.70987449593315,1.44565252276549,1.2102242874223164,2.304022019585036,-0.01818141971736098
