method,period,class_id,groups,support,precision,recall,f1
bn_adabn,M-2022-7,43,,1330,0.7983739837398374,0.7383458646616541,0.7671875
bn_adabn,M-2022-7,44,stable,1904,0.9907887161773172,0.9038865546218487,0.9453446855259544
bn_adabn,M-2022-7,45,absorber,1928,0.7761437908496732,0.7391078838174274,0.757173219978746
bn_adabn,M-2022-7,46,absorber,4182,0.6725023342670402,0.6889048302247729,0.6806047720292936
bn_adabn,M-2022-7,47,final_collapsed;gradual_collapsed,384,0.9918032786885246,0.9453125,0.968
bn_adabn,M-2022-7,48,final_collapsed;abrupt_collapsed,4498,0.8977035490605428,0.09559804357492219,0.17279485633916014
bn_adabn,M-2022-7,49,,13761,0.8686023622047244,0.8978271927912216,0.88297302126139
bn_adabn,M-2022-7,50,degraded_noncollapsed,2568,0.1580246913580247,0.04984423676012461,0.07578448786264061
bn_adabn,M-2022-7,51,,15397,0.8637833468067906,0.9715528999155679,0.9145040501299099
bn_adabn,M-2022-7,52,,1010,0.6673151750972762,0.6792079207920793,0.6732090284592738
bn_adabn,M-2022-7,53,,4517,0.8737725040916531,0.9455390746070401,0.908240297713982
bn_adabn,M-2022-7,54,degraded_noncollapsed,3357,0.1696230598669623,0.09115281501340483,0.11858167021894982
bn_adabn,M-2022-7,55,degraded_noncollapsed,5627,0.8657314629258517,0.9980451395059534,0.9271916790490342
bn_adabn,M-2022-7,56,final_collapsed;abrupt_collapsed,8114,0.03225806451612903,0.00012324377618930243,0.00024554941682013506
bn_adabn,M-2022-7,57,stable,2449,0.9798630688683044,0.9934667211106574,0.98661800486618
bn_adabn,M-2022-7,58,,1749,0.9819921215531795,0.9977129788450543,0.9897901304594441
bn_adabn,M-2022-7,59,stable,5381,0.8178075926208264,0.996840735922691,0.8984924623115578
bn_adabn,M-2022-7,60,,21024,0.8582936967048035,0.952720700152207,0.9030454678659182
bn_adabn,M-2022-7,61,,12195,0.7101791110783519,0.7900779007790077,0.7480009316046891
bn_adabn,M-2022-7,62,stable,8933,0.9422212476702116,0.9620508227918952,0.9520327905173369
bn_adabn,M-2022-7,63,,8561,0.8374678053409245,0.7216446676790095,0.7752541096749906
bn_adabn,M-2022-7,64,stable,16,0.021505376344086023,0.25,0.039603960396039604
bn_adabn,M-2022-7,65,,2044,0.9235569422776911,0.8688845401174168,0.8953869422737585
bn_adabn,M-2022-7,66,final_collapsed;abrupt_collapsed,2587,0.8551422319474836,0.7553150367220719,0.8021346469622331
bn_adabn,M-2022-7,67,,1175,0.34972677595628415,0.32680851063829786,0.33787945446546414
bn_adabn,M-2022-7,68,,3493,0.7415017757483511,0.8368164901231033,0.7862811028917284
bn_adabn,M-2022-7,69,final_collapsed;abrupt_collapsed,605,0.7619047619047619,0.9256198347107438,0.835820895522388
bn_adabn,M-2022-7,70,degraded_noncollapsed,1078,0.635593220338983,0.6261595547309833,0.6308411214953271
bn_adabn,M-2022-7,71,absorber,78156,0.8383429883047328,0.8832335329341318,0.8602029944484944
bn_adabn,M-2022-7,72,,7931,0.7771347736625515,0.7619467910730047,0.7694658432545999
bn_adabn,M-2022-7,73,,15014,0.9789648307896484,0.9826162248568003,0.9807871293710942
bn_adabn,M-2022-7,74,,3474,0.6757369614512472,0.6004605641911341,0.6358786770309404
bn_adabn,M-2022-7,75,degraded_noncollapsed,16084,0.633409528931917,0.8786371549365829,0.7361375179059774
bn_adabn,M-2022-7,76,stable,5019,0.8976587014240889,0.7409842598127117,0.8118314778432657
bn_adabn,M-2022-7,77,,35082,0.8828144304423029,0.8147197993272903,0.8474013460227104
bn_adabn,M-2022-7,78,,31608,0.965591054313099,0.9561819792457605,0.9608634831817893
bn_adabn,M-2022-7,79,,10765,0.7675675675675676,0.791453785415699,0.7793276926595015
bn_adabn,M-2022-7,80,degraded_noncollapsed,2151,0.6654867256637168,0.3496048349604835,0.4583968302346845
bn_adabn,M-2022-7,81,,3251,0.9716136994754705,0.9686250384497078,0.970117067159581
bn_adabn,M-2022-7,82,,38594,0.7877724820361455,0.8436803648235477,0.814768476234564
bn_adabn,M-2022-7,83,,21074,0.9226315309565059,0.960282812944861,0.9410807291666666
bn_adabn,M-2022-7,84,,1135,0.9333333333333333,0.986784140969163,0.9593147751605996
bn_adabn,M-2022-7,85,,1437,0.9662301860785665,0.9756437021572721,0.9709141274238227
